customerId,city,membershipTier
C001,Mumbai,Silver
C002,Chennai,Silver
C003,Bangalore,Silver
C004,Mumbai,Platinum
C005,Jaipur,Silver
C006,Lucknow,Gold
C007,Hyderabad,Silver
C008,Mumbai,Silver
C009,Bangalore,Platinum
C010,Lucknow,Silver
C011,Jaipur,Silver
C012,Jaipur,Gold
C013,Bangalore,Gold
C014,Lucknow,Gold
C015,Hyderabad,Silver
C016,Kolkata,Gold
C017,Chennai,Silver
C018,Bangalore,Gold
C019,Mumbai,Silver
C020,Kolkata,Silver
C021,Pune,Gold
C022,Lucknow,Gold
C023,Hyderabad,Platinum
C024,Ahmedabad,Platinum
C025,Mumbai,Gold
C026,Mumbai,Platinum
C027,Chennai,Platinum
C028,Lucknow,Gold
C029,Lucknow,Silver
C030,Mumbai,Silver
C031,Bangalore,Gold
C032,Mumbai,Silver
C033,Mumbai,Gold
C034,Chennai,Gold
C035,Pune,Silver
C036,Pune,Gold
C037,Bangalore,Platinum
C038,Chennai,Platinum
C039,Mumbai,Platinum
C040,Delhi,Platinum
C041,Bangalore,Silver
C042,Ahmedabad,Gold
C043,Chennai,Platinum
C044,Jaipur,Silver
C045,Pune,Silver
C046,Bangalore,Silver
C047,Pune,Gold
C048,Chennai,Silver
C049,Bangalore,Platinum
C050,Pune,Silver
C051,Ahmedabad,Gold
C052,Ahmedabad,Silver
C053,Chennai,Silver
C054,Bangalore,Platinum
C055,Jaipur,Platinum
C056,Chennai,Platinum
C057,Lucknow,Gold
C058,Lucknow,Gold
C059,Pune,Silver
C060,Delhi,Platinum
C061,Ahmedabad,Silver
C062,Hyderabad,Silver
C063,Delhi,Platinum
C064,Delhi,Platinum
C065,Kolkata,Platinum
C066,Mumbai,Gold
C067,Kolkata,Platinum
C068,Ahmedabad,Platinum
C069,Chennai,Platinum
C070,Hyderabad,Platinum
C071,Mumbai,Platinum
C072,Jaipur,Gold
C073,Pune,Silver
C074,Chennai,Gold
C075,Delhi,Gold
C076,Hyderabad,Platinum
C077,Chennai,Platinum
C078,Delhi,Platinum
C079,Mumbai,Platinum
C080,Chennai,Platinum
C081,Jaipur,Platinum
C082,Bangalore,Silver
C083,Pune,Silver
C084,Jaipur,Platinum
C085,Hyderabad,Platinum
C086,Pune,Gold
C087,Hyderabad,Silver
C088,Pune,Gold
C089,Bangalore,Silver
C090,Bangalore,Platinum
C091,Mumbai,Silver
C092,Ahmedabad,Silver
C093,Jaipur,Silver
C094,Delhi,Platinum
C095,Ahmedabad,Platinum
C096,Delhi,Gold
C097,Jaipur,Platinum
C098,Kolkata,Silver
C099,Jaipur,Platinum
C100,Bangalore,Platinum
