orderId,customerId,category,quantity,price,orderDate
O0001,C040,Home,3,2499,2026-09-22
O0002,C058,Electronics,2,799,2026-02-02
O0003,C044,Electronics,5,4999,2026-04-28
O0004,C076,Clothing,1,299,2026-01-31
O0005,C030,Electronics,1,1499,2026-02-06
O0006,C066,Clothing,3,9999,2026-09-06
O0007,C028,Beauty,2,14999,2026-08-31
O0008,C032,Home,4,799,2026-02-18
O0009,C013,Sports,4,1499,2026-08-05
O0010,C053,Home,1,9999,2026-02-20
O0011,C008,Home,3,299,2026-05-08
O0012,C025,Clothing,5,2499,2026-03-13
O0013,C055,Clothing,3,2499,2026-05-08
O0014,C010,Home,5,299,2026-01-26
O0015,C084,Beauty,1,299,2026-05-02
O0016,C022,Home,4,2499,2026-04-20
O0017,C052,Electronics,2,1999,2026-01-02
O0018,C050,Books,4,999,2026-08-05
O0019,C090,Sports,5,9999,2026-09-07
O0020,C020,Clothing,3,799,2026-01-30
O0021,C075,Sports,5,199,2026-06-10
O0022,C008,Electronics,5,2499,2026-09-15
O0023,C068,Clothing,1,4999,2026-02-11
O0024,C024,Electronics,5,299,2026-05-01
O0025,C052,Electronics,5,799,2026-01-21
O0026,C080,Electronics,4,9999,2026-09-25
O0027,C041,Books,2,9999,2026-06-10
O0028,C031,Books,4,499,2026-06-03
O0029,C059,Books,1,199,2026-08-23
O0030,C080,Beauty,1,299,2026-04-20
O0031,C065,Books,2,1499,2026-02-05
O0032,C032,Books,3,499,2026-08-13
O0033,C070,Sports,3,7999,2026-09-28
O0034,C002,Sports,5,999,2026-02-23
O0035,C018,Books,1,299,2026-03-21
O0036,C035,Books,5,799,2026-06-25
O0037,C027,Sports,3,4999,2026-09-08
O0038,C033,Electronics,1,9999,2026-08-05
O0039,C036,Electronics,1,1499,2026-03-08
O0040,C082,Books,2,14999,2026-08-15
O0041,C071,Sports,4,4999,2026-01-05
O0042,C015,Electronics,2,4999,2026-01-19
O0043,C048,Beauty,5,499,2026-08-09
O0044,C017,Electronics,3,1499,2026-01-21
O0045,C046,Clothing,2,9999,2026-02-22
O0046,C046,Beauty,4,7999,2026-03-21
O0047,C031,Clothing,2,1999,2026-01-13
O0048,C023,Sports,3,1999,2026-05-08
O0049,C035,Clothing,1,1999,2026-01-20
O0050,C061,Clothing,2,2499,2026-06-29
O0051,C040,Clothing,2,199,2026-04-09
O0052,C052,Books,3,299,2026-05-23
O0053,C045,Sports,5,1999,2026-06-19
O0054,C004,Electronics,3,499,2026-05-16
O0055,C005,Electronics,5,1999,2026-06-26
O0056,C094,Books,4,7999,2026-09-19
O0057,C015,Home,5,799,2026-05-11
O0058,C006,Sports,4,199,2026-09-24
O0059,C069,Sports,2,1499,2026-08-09
O0060,C009,Sports,3,7999,2026-06-10
O0061,C085,Electronics,3,4999,2026-06-08
O0062,C086,Home,3,1999,2026-06-01
O0063,C071,Clothing,2,1999,2026-07-14
O0064,C087,Sports,2,7999,2026-06-04
O0065,C052,Beauty,1,999,2026-05-27
O0066,C027,Home,5,7999,2026-06-14
O0067,C060,Home,4,9999,2026-04-20
O0068,C066,Home,2,9999,2026-02-13
O0069,C037,Beauty,5,1499,2026-02-17
O0070,C097,Clothing,3,799,2026-04-12
O0071,C019,Electronics,1,799,2026-09-01
O0072,C079,Electronics,4,1999,2026-04-10
O0073,C092,Sports,4,2499,2026-07-24
O0074,C032,Clothing,1,299,2026-08-06
O0075,C029,Clothing,5,2499,2026-01-26
O0076,C072,Clothing,1,2499,2026-03-10
O0077,C060,Sports,5,4999,2026-06-12
O0078,C097,Home,5,14999,2026-09-16
O0079,C055,Beauty,4,499,2026-09-01
O0080,C058,Books,2,9999,2026-05-22
O0081,C099,Beauty,4,9999,2026-05-03
O0082,C036,Home,1,14999,2026-05-27
O0083,C031,Books,3,1499,2026-02-11
O0084,C018,Clothing,2,1999,2026-03-20
O0085,C091,Clothing,1,1999,2026-07-28
O0086,C043,Beauty,4,1999,2026-02-01
O0087,C027,Home,4,7999,2026-01-11
O0088,C098,Beauty,4,2499,2026-01-04
O0089,C046,Books,4,1999,2026-04-23
O0090,C063,Clothing,3,1999,2026-09-06
O0091,C004,Home,3,9999,2026-07-27
O0092,C093,Clothing,4,499,2026-01-14
O0093,C051,Beauty,5,9999,2026-01-14
O0094,C011,Sports,4,499,2026-08-25
O0095,C024,Electronics,3,1999,2026-06-17
O0096,C028,Home,3,1499,2026-07-14
O0097,C036,Home,3,299,2026-08-29
O0098,C003,Sports,5,199,2026-06-29
